group,num_cores,speedup
Deep,1,1.0
Deep,2,1.9923972280084044
Deep,4,3.956630006177256
Deep,8,7.190017387596429
Deep,16,8.544149212947586
Medium,1,1.0
Medium,2,1.993568888740498
Medium,4,3.9673023366992286
Medium,8,7.2416091309008825
Medium,16,9.12035527178627
Shallow,1,1.0
Shallow,2,1.9788882603070186
Shallow,4,3.871544332605607
Shallow,8,7.169698844763061
Shallow,16,10.25478410088973
